code,price,pct,turnover,vol_ratio,remark,name
603006,14.08,5.23%,6.13%,6.34,缩量横盘+大阳突破,联明股份
002923,13.95,6.98%,7.86%,4.72,缩量横盘+大阳突破,润都股份
600509,8.96,6.04%,7.74%,2.81,缩量横盘+大阳突破,天富能源
603089,13.85,5.4%,6.97%,3.74,缩量横盘+大阳突破,正裕工业
