code,price,pct,turnover,vol_ratio,remark,name
000875,6.77,10.08%,8.79%,6.1,缩量横盘+大阳突破,吉电股份
000958,7.04,6.02%,3.34%,4.78,缩量横盘+大阳突破,电投产融
