StockCode,Latest_Close,MA5,MA20,StockName
601118,5.25,5.029999999999999,4.849,海南橡胶
605300,9.79,9.648,9.1305,佳禾食品
603101,7.32,7.2620000000000005,7.009,汇嘉时代
600513,19.15,16.715999999999998,15.655999999999997,联环药业
601857,10.02,9.67,9.2895,中国石油
601339,8.29,7.6,7.220999999999999,百隆东方
002671,15.16,14.441999999999998,9.937999999999999,
000650,5.6,5.38,5.2410000000000005,
600771,15.3,14.687999999999999,13.860500000000002,广誉远
002313,7.94,7.824000000000001,7.787000000000001,
600694,14.75,14.274000000000001,13.977500000000001,大商股份
603617,7.0,6.786,6.5954999999999995,君禾股份
600834,7.28,7.114,6.995,申通地铁
000735,5.28,5.236,5.021,
601928,9.35,9.224,9.0235,凤凰传媒
601952,8.07,7.848000000000001,7.789,苏垦农发
002267,7.11,6.984,6.852000000000001,
601198,14.29,13.916,13.619500000000002,东兴证券
605388,5.96,5.952,5.1845,均瑶健康
603679,19.3,18.074,17.526500000000002,华体科技
603810,11.54,11.162,10.914,丰山集团
600639,9.75,9.548,9.458499999999999,浦东金桥
605056,14.87,13.998000000000001,13.8005,咸亨国际
002603,17.44,16.351999999999997,15.555000000000001,
002458,9.02,8.754000000000001,8.487,
600833,10.04,9.725999999999999,9.5825,第一医药
600847,14.86,14.588,13.391,万里股份
000506,14.82,13.991999999999999,12.997,
000421,5.93,5.814,5.5329999999999995,
600191,10.28,9.959999999999999,9.017,华资实业
002022,5.21,4.9559999999999995,4.842,
603998,10.17,9.66,9.416500000000001,方盛制药
600517,9.63,9.616,7.303999999999999,国网英大
603012,8.47,8.278,8.133,创力集团
603327,8.99,8.943999999999999,8.474499999999999,福蓉科技
002511,7.47,7.2780000000000005,7.1345,
603708,9.5,9.12,8.964500000000001,家家悦
002532,12.75,11.596,11.546,
002879,18.76,17.392,15.178,
600613,5.11,4.837999999999999,4.7170000000000005,神奇制药
002090,11.53,11.312000000000001,10.2565,
600908,5.45,5.296,5.277500000000001,无锡银行
002719,7.82,7.796000000000001,6.8690000000000015,
600663,6.78,6.57,6.4670000000000005,陆家嘴
000159,5.82,5.491999999999999,5.3585,
002533,12.63,12.528,11.7975,
600848,8.96,8.504000000000001,8.080499999999999,上海临港
000156,8.23,8.078,7.4155,
600233,17.5,16.974,16.5285,圆通速递
600971,7.93,7.3199999999999985,7.2395,恒源煤电
