Code,Name,Latest_Close,Latest_Volume,Max_Volume_120d,Low_Price_40d_Threshold
600618,氯碱化工,12.49,91782,43168674,12.6463
600481,双良节能,6.56,830371,223296801,6.699199999999999
002212,天融信,7.31,176241,37660351,7.3652
601118,海南橡胶,6.29,660040,122053746,6.3515
002208,合肥城建,12.12,564065,59187140,12.251999999999999
601700,风范股份,5.29,183163,96409939,5.318899999999999
002096,易普力,11.53,204636,8228010,11.621799999999999
601611,中国核建,14.01,393234,87723914,14.166
002564,天沃科技,6.06,124326,20183102,6.1122
603679,华体科技,13.86,71275,7738724,13.947
600376,首开股份,5.05,765598,64516003,5.0552
002918,蒙娜丽莎,11.05,58510,5265347,11.244100000000001
600446,金证股份,12.52,108917,18960557,12.5971
002892,科力尔,10.85,50244,16655573,10.8705
603997,继峰股份,11.76,124681,27683182,11.8827
002339,积成电子,10.49,261192,86261708,10.5716
601198,东兴证券,12.32,193538,30266889,12.383000000000001
002617,露笑科技,7.3,498707,155256587,7.3621
002137,实益达,8.0,95536,30698501,8.0642
002139,拓邦股份,12.05,97704,29724833,12.108500000000001
000823,超声电子,12.65,172639,22885723,12.7688
002319,乐通股份,11.0,70272,26718678,11.1365
600185,珠免集团,5.68,272627,46369417,5.758
002973,侨银股份,12.66,21682,3682100,12.68
600707,彩虹股份,5.59,154623,60024846,5.6326
600733,北汽蓝谷,7.15,553850,252330430,7.169
600966,博汇纸业,6.41,165772,21265867,6.4787
603458,勘设股份,9.62,119082,22697466,9.6308
002284,亚太股份,13.18,300726,28268177,13.306
002459,晶澳科技,10.9,780815,142046960,10.9636
605368,蓝天燃气,8.21,66956,10189290,8.216899999999999
600846,同济科技,11.83,28522,4735305,11.8439
002320,海峡股份,8.56,407583,26317493,8.6272
600218,全柴动力,9.11,84139,14085590,9.1618
002658,雪迪龙,8.35,102970,31415682,8.4427
002031,巨轮智能,6.34,477962,78938419,6.357399999999999
000524,岭南控股,10.75,232193,7810924,10.8334
000061,农 产 品,7.38,229995,18952988,7.4493
002410,广联达,11.07,288601,51178370,11.085600000000001
002632,道明光学,11.85,305783,21282950,11.919
600028,中国石化,5.88,1735745,262942713,5.9382
600588,用友网络,11.64,294672,95671929,11.755700000000001
002488,金固股份,11.08,143851,46739109,11.1532
000571,新大洲A,5.76,145099,28561144,5.8221
002579,中京电子,11.17,379013,48167087,11.2144
002769,普路通,10.67,65009,16537100,10.720600000000001
000599,青岛双星,5.8,168504,36243427,5.8527000000000005
002249,大洋电机,9.16,288509,104729735,9.1661
002255,海陆重工,10.75,182619,42531662,10.8228
002427,尤夫股份,6.14,171759,38939194,6.194599999999999
600860,京城股份,11.13,143602,27825342,11.2719
002806,华锋股份,12.4,87643,9186227,12.541
002177,御银股份,7.35,442186,56885821,7.4201999999999995
601319,中国人保,7.27,804607,108220314,7.330299999999999
002414,高德红外,12.69,498226,77609969,12.7992
002453,华软科技,5.25,110586,20503588,5.2863
603697,有友食品,9.84,91589,6852002,9.9615
000735,罗 牛 山,6.68,169447,33586372,6.694299999999999
600909,华安证券,5.55,418729,120160496,5.6057
600578,京能电力,5.08,620097,47449240,5.1043
002405,四维图新,9.26,541538,154981145,9.3176
001914,招商积余,9.75,61460,8548675,9.7538
000821,京山轻机,11.67,164243,78500274,11.8074
002052,同洲电子,10.39,139038,14835005,10.455400000000001
000403,派林生物,12.94,66005,14531861,12.9832
002706,良信股份,9.99,487121,32794310,10.077
002036,联创电子,8.69,181019,70786171,8.7872
605069,正和生态,11.6,41648,5513600,11.6855
600667,太极实业,8.94,1999057,260647891,9.0216
600258,首旅酒店,14.98,225911,15134610,15.0691
601061,中信金属,11.63,130389,36883304,11.633500000000002
002366,融发核电,7.35,579663,81649841,7.395899999999999
002559,亚威股份,9.16,138989,22895800,9.2068
000532,华金资本,13.27,42862,10499007,13.2944
603758,秦安股份,12.43,30003,5977001,12.5155
002698,博实股份,13.2,62351,16995470,13.3158
600635,大众公用,5.56,692166,93962542,5.6029
002117,东港股份,9.96,155826,10184008,10.017900000000001
002527,新时达,13.41,66485,26044573,13.471599999999999
600703,三安光电,11.67,1947157,256080881,11.8821
600828,茂业商业,5.33,218131,37160110,5.4035
600596,新安股份,10.69,209967,35902191,10.7797
603766,隆鑫通用,13.5,665862,30825230,13.5915
002423,中粮资本,10.41,176666,20615919,10.4472
605007,五洲特纸,13.31,34564,8503183,13.439300000000001
002277,友阿股份,5.7,596148,43783717,5.7699
603187,海容冷链,14.06,72534,3684827,14.1533
002011,盾安环境,11.75,95985,16371740,11.804
002590,万安科技,12.11,58726,15220256,12.1139
000712,锦龙股份,10.19,96667,14826073,10.277899999999999
