Code,Name,Latest_Close,Latest_Volume,Max_Volume_120d,Low_Price_40d_Threshold
000955,欣龙控股,5.47,332173,18172890,5.5099
600843,上工申贝,10.83,125011,18849831,10.884
002164,宁波东力,13.51,187077,32869139,13.6063
600106,重庆路桥,6.01,176214,15978575,6.0298
601777,千里科技,10.25,709978,70786637,10.3064
002331,皖通科技,8.64,96252,24486767,8.6982
601108,财通证券,8.42,604225,122413588,8.4512
600376,首开股份,5.05,622352,64516003,5.1052
603679,华体科技,14.8,80812,7738724,14.895100000000001
600271,航天信息,9.46,342649,54764947,9.586
002675,东诚药业,12.6,108274,10847128,12.6672
000532,华金资本,14.42,216191,10499007,14.5343
002117,东港股份,10.92,116326,10184008,11.0196
002820,桂发祥,11.72,78682,8112647,11.749400000000001
603703,盛洋科技,13.66,197884,25422850,13.7493
603879,永悦科技,5.95,165083,16887005,5.9902
002403,爱仕达,11.21,45193,5421973,11.2673
603535,嘉诚国际,9.56,56051,3707641,9.6074
603633,徕木股份,8.32,123464,9390410,8.384500000000001
600697,欧亚集团,13.14,64324,8931891,13.1697
600706,曲江文旅,10.08,78311,10435320,10.1232
002067,景兴纸业,5.32,727091,75339087,5.3413
002097,山河智能,10.92,342860,33461743,10.9809
600736,苏州高新,6.34,414131,115276532,6.3862
600679,上海凤凰,12.43,53470,4609001,12.4759
600156,华升股份,7.88,82302,5515600,7.9048
002790,瑞尔特,8.16,74084,7835924,8.184000000000001
002907,华森制药,14.08,25039,4598333,14.1349
600480,凌云股份,10.97,242360,22296747,11.020700000000001
600678,四川金顶,11.13,226434,21613600,11.253300000000001
000036,华联控股,5.12,583363,114065618,5.2007
002373,千方科技,10.7,391306,71475458,10.7846
002474,榕基软件,8.07,258134,47342279,8.1564
600422,昆药集团,12.05,67112,13340445,12.086300000000001
603680,今创集团,14.35,45080,8179522,14.4541
002370,亚太药业,6.47,205202,70333239,6.511699999999999
000566,海南海药,5.8,537731,87850213,5.8744
600192,长城电工,9.37,147586,50519095,9.4003
002029,七 匹 狼,10.55,217772,21399891,10.6583
600848,上海临港,10.86,148762,17721704,10.904399999999999
002708,光洋股份,12.51,192753,14528200,12.562199999999999
002434,万里扬,8.7,323574,37476100,8.764199999999999
002139,拓邦股份,12.53,229256,29724833,12.588799999999999
603221,爱丽家居,12.26,44351,5101000,12.3245
605300,佳禾食品,11.3,34442,2974084,11.331800000000001
002949,华阳国际,14.8,109108,5341700,14.8538
603158,腾龙股份,9.87,183025,25826010,9.9066
002593,日上集团,5.65,313360,24062600,5.670400000000001
000796,凯撒旅业,5.47,893605,54745179,5.5327
000837,秦川机床,11.51,300719,21035261,11.5703
002587,奥拓电子,6.38,277150,20910350,6.4037
600858,银座股份,6.15,158324,26002300,6.1905
002137,实益达,8.51,233748,30698501,8.5589
000886,海南高速,6.27,271664,19104441,6.302099999999999
000026,飞亚达,14.91,59512,8212700,14.9656
603086,先达股份,8.14,139367,33280442,8.167900000000001
600909,华安证券,6.22,968942,120160496,6.2653
603758,秦安股份,13.98,63627,5977001,14.1186
002123,梦网科技,11.38,298002,25847896,11.467300000000002
600336,澳柯玛,7.47,203525,31139784,7.515
603386,骏亚科技,14.07,123215,20437020,14.144400000000001
600712,南宁百货,6.3,119016,10091262,6.3345
000058,深 赛 格,8.42,104549,15690706,8.4644
002301,齐心集团,7.12,149563,27432181,7.1605
000572,海马汽车,6.69,577204,90836553,6.753900000000001
000892,欢瑞世纪,6.53,498888,44714000,6.6302
603982,泉峰汽车,8.17,100490,7001011,8.1967
002083,孚日股份,10.89,396403,76098572,10.985100000000001
002026,山东威达,13.78,121744,21957782,13.8745
000759,中百集团,6.53,306379,24965144,6.5894
600419,天润乳业,9.71,55824,9308000,9.727400000000001
000678,襄阳轴承,12.37,146289,17195500,12.475
605136,丽人丽妆,10.66,148826,32279600,10.757200000000001
601566,九牧王,11.29,102303,11560131,11.415099999999999
002406,远东传动,7.88,232500,19735200,7.884
002691,冀凯股份,8.15,109954,11424591,8.207
605228,神通科技,13.19,92221,7828020,13.3037
002707,众信旅游,6.95,248904,43603992,7.0142
605500,森林包装,8.76,43976,4498800,8.7858
000810,创维数字,11.39,187193,14779853,11.4359
001313,粤海饲料,7.27,92741,9633498,7.2931
002731,萃华珠宝,8.49,106377,46350453,8.7114
002565,顺灏股份,14.32,1074949,179903839,14.4025
605008,长鸿高科,12.89,45296,4205366,12.9533
002320,海峡股份,10.19,282100,26317493,10.2491
600095,湘财股份,10.31,300503,32561074,10.358
002345,潮宏基,11.41,457852,28666451,11.5102
002235,安妮股份,9.61,463017,31621650,9.6679
603648,畅联股份,9.97,42298,4534400,10.0
002752,昇兴股份,6.43,209465,17334102,6.501399999999999
000006,深振业Ａ,8.56,298327,41414793,8.6089
003025,思进智能,14.0,56128,4610566,14.036
002038,双鹭药业,6.32,204015,35230111,6.3725000000000005
603697,有友食品,11.29,89835,6852002,11.367999999999999
603518,锦泓集团,9.5,112251,7774300,9.5243
002512,达华智能,5.73,8581,63481686,5.786700000000001
600100,同方股份,8.64,1212807,182346289,8.677200000000001
603901,永创智能,13.09,102983,16773288,13.1761
002098,浔兴股份,9.47,50936,9915000,9.5168
002521,齐峰新材,8.11,54385,5420709,8.1334
002676,顺威股份,7.24,160095,18269863,7.2847
003016,欣贺股份,8.31,65846,7272800,8.3841
603886,元祖股份,13.16,39157,5931900,13.1957
002892,科力尔,11.65,134525,16655573,11.71
600838,上海九百,10.8,144888,49041572,10.806799999999999
002204,大连重工,7.0,605854,47451887,7.0339
603890,春秋电子,14.18,150500,25498385,14.2784
002669,康达新材,13.75,174008,13720300,13.8103
603536,惠发食品,10.26,67971,7692540,10.311
002212,天融信,7.93,399228,37660351,7.997199999999999
002148,北纬科技,7.93,162434,13951538,7.9753
002590,万安科技,13.49,117810,15220256,13.5713
600198,大唐电信,8.9,448423,52002202,8.9969
600326,西藏天路,10.63,415622,43220461,10.639899999999999
603602,纵横通信,13.72,80432,8995106,13.8283
600721,百花医药,8.66,122456,22971647,8.7674
603815,交建股份,6.57,159404,42093400,6.6219
002363,隆基机械,8.5,108039,15803940,8.5852
