股票代码,最新价,支撑位,量能萎缩比,历史信号胜率,信号强度,操作建议,name
000567,6.32,6.32,41.6%,58.2%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,海德股份
002660,9.43,9.41,29.0%,54.5%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,茂硕电源
603890,16.35,16.02,42.8%,77.8%,80,建议观察，待放量确认,春秋电子
