StockCode,Latest_Close,MA5,MA20,StockName
603858,15.65,15.530000000000001,15.261000000000001,步长制药
002038,6.72,6.214,5.7925,
000739,18.19,17.97,17.1525,
605377,9.89,9.72,9.0355,华旺科技
002774,15.26,14.672,13.8255,
002439,13.26,13.184000000000001,13.004500000000002,
000731,5.79,5.6819999999999995,5.4895,
601928,9.24,9.134,9.0145,凤凰传媒
603162,10.12,9.652000000000001,9.5525,海通发展
603815,6.99,6.717999999999999,5.85,交建股份
002728,10.17,9.41,8.894,
000948,13.45,12.918000000000001,12.4615,
603682,8.78,8.31,8.0105,锦和商管
605208,18.48,18.046,16.437,永茂泰
002772,13.13,12.815999999999999,12.561,
600535,14.38,14.118,13.9205,天士力
603329,9.8,9.674000000000001,9.5095,上海雅仕
600056,9.38,9.114,9.05,中国医药
000989,8.98,8.318000000000001,8.099,
600770,6.48,6.442,6.3325,综艺股份
002490,8.26,7.384,6.9799999999999995,
600523,11.32,11.1,11.025000000000002,贵航股份
600246,19.91,19.72,18.336,万通发展
600992,11.72,9.908,9.4175,贵绳股份
002923,11.28,10.624,10.193999999999999,
603367,13.73,13.492,13.345000000000002,辰欣药业
002412,6.09,6.022,5.9295,
002603,16.47,15.569999999999999,15.377500000000001,
000950,5.29,5.178,5.177999999999999,
002107,6.36,6.236,6.0649999999999995,
603233,18.08,17.733999999999998,16.4925,大参林
601339,7.42,7.256,7.1485,百隆东方
600127,5.59,5.426,5.42,金健米业
600756,14.85,13.547999999999998,13.05,浪潮软件
603309,11.79,11.782,11.638,维力医疗
600428,9.82,8.693999999999999,8.322,中远海特
002737,12.95,12.568,12.205000000000002,
600771,15.05,14.168000000000001,13.742499999999998,广誉远
600975,5.19,5.008000000000001,4.649,新五丰
601857,9.66,9.344,9.2925,中国石油
002746,5.67,5.396000000000001,5.3095,
002511,7.02,6.998,6.882000000000001,
600018,5.1,5.062,4.9245,上港集团
002550,6.94,6.717999999999999,6.3695,
002907,14.5,13.866,13.4275,
603456,14.64,14.422,13.727500000000001,九洲药业
002414,13.99,13.352,13.296000000000001,
603213,14.54,14.354000000000003,14.124500000000001,镇洋发展
600129,17.94,15.693999999999999,13.7845,太极集团
603313,7.99,7.197999999999999,6.012,梦百合
600351,6.4,6.202,6.064,亚宝药业
601988,5.92,5.848,5.836499999999999,中国银行
603998,9.78,9.392,9.378,方盛制药
603898,14.54,14.065999999999999,13.989,好莱客
600025,9.81,9.553999999999998,9.2935,华能水电
601398,7.53,7.352000000000001,7.2485,工商银行
600216,11.89,11.886000000000001,11.8595,浙江医药
000779,10.76,9.818000000000001,8.368500000000001,
603339,15.98,15.418000000000001,14.403,四方科技
002274,5.48,5.308,5.0424999999999995,
002275,13.31,13.15,12.709999999999999,
601139,6.06,5.92,5.904999999999999,深圳燃气
002292,7.65,7.616,6.9515,
603118,14.8,14.074000000000002,12.883500000000002,共进股份
002642,7.1,6.772,6.5795,
600521,16.84,16.484,15.169,华海药业
600422,8.78,8.338,8.202,昆药集团
600718,7.81,7.556,7.550500000000001,东软集团
600267,11.33,10.724,10.306999999999999,海正药业
603378,5.83,5.71,5.256,亚士创能
000650,5.37,5.273999999999999,5.218,
002677,7.23,6.603999999999999,6.189,
002828,13.01,12.605999999999998,10.7055,
002370,5.46,5.412000000000001,5.376,
001201,11.78,11.61,11.1435,
600557,13.03,12.418000000000001,12.0495,康缘药业
601939,10.18,10.018,9.9005,建设银行
000153,5.42,5.338,5.313000000000001,
002546,8.17,7.55,7.340999999999999,
600621,13.8,13.468,13.216,华鑫股份
002350,15.07,14.654,14.309999999999999,
002152,10.13,10.048,9.7925,
601827,7.88,7.628,7.5235,三峰环境
002349,6.7,6.540000000000001,6.4350000000000005,
002123,8.93,8.57,7.903999999999999,
002019,10.06,9.876000000000001,9.835,
600288,16.64,16.524,13.896499999999998,大恒科技
002332,8.33,8.267999999999999,8.266,
