Code,Name,Latest_Close,Latest_Volume,Max_Volume_120d,Low_Price_40d_Threshold
600063,皖维高新,6.23,537968,60336147,6.2636
600191,华资实业,10.93,59955,11540932,10.9608
600028,中国石化,5.14,1940929,262942713,5.1645
002097,山河智能,9.51,163888,33461743,9.5336
603885,吉祥航空,10.71,341994,12341672,10.7736
603628,清源股份,11.97,58899,19258356,12.111
600817,宇通重工,10.62,62441,2929100,10.6554
000506,招金黄金,14.17,284247,132451374,14.3356
002537,海联金汇,6.99,269308,97377519,7.0407
001376,百通能源,13.64,109963,25426501,13.779200000000001
002302,西部建设,5.5,60668,16325797,5.5067
000507,珠海港,5.16,84465,29368373,5.1819
603385,惠达卫浴,6.39,48484,4360690,6.3911
002543,万和电气,7.99,43398,10825704,8.036200000000001
600416,湘电股份,12.0,302890,38964114,12.0504
600618,氯碱化工,11.95,213058,43168674,12.006699999999999
002783,凯龙股份,8.51,92040,28287190,8.549
603588,高能环境,13.15,735185,58877437,13.2508
000821,京山轻机,9.54,213803,78500274,9.6456
605337,李子园,10.25,33645,20617820,10.2842
603313,梦百合,5.89,98706,14453880,5.9821
603218,日月股份,12.41,87795,14545323,12.4916
002478,常宝股份,8.06,196735,43702495,8.1701
002258,利尔化学,12.21,125237,30477953,12.3039
600250,南京商旅,9.88,94333,13508500,10.0051
603712,七一二,14.9,105660,24867433,15.0002
600257,大湖股份,5.76,163132,25685700,5.8041
002098,浔兴股份,8.36,42931,9915000,8.3848
601696,中银证券,11.94,260339,74820031,11.9678
002790,瑞尔特,7.13,52562,7835924,7.1617999999999995
000590,启迪药业,10.33,46052,5555800,10.3933
603035,常熟汽饰,12.94,46004,6415456,12.9558
601022,宁波远洋,8.44,72090,20525101,8.4673
600219,南山铝业,5.19,1608852,444254110,5.2311000000000005
600469,风神股份,6.22,145281,12207287,6.251799999999999
000572,海马汽车,5.11,342189,90836553,5.1559
603277,银都股份,12.81,17246,1531325,12.8811
600721,百花医药,7.99,68971,22971647,8.0863
002394,联发股份,12.24,66976,12113578,12.339500000000001
002320,海峡股份,8.04,196558,26317493,8.063799999999999
600138,中青旅,8.39,74592,25689651,8.421800000000001
600429,三元股份,5.18,180441,34257201,5.2120999999999995
002264,新 华 都,7.6,202567,100904200,7.635999999999999
000061,农 产 品,6.68,206595,18952988,6.745699999999999
600886,国投电力,13.23,357268,24703780,13.250399999999999
603707,健友股份,8.5,107769,12455758,8.5438
605050,福然德,11.91,48733,7335300,11.9925
603105,芯能科技,9.7,170395,15097956,9.8257
000425,徐工机械,9.46,2124422,140824910,9.5053
603898,好莱客,12.59,34585,16932068,12.6774
605368,蓝天燃气,7.54,40636,10189290,7.5757
001217,华尔泰,11.3,70726,10210420,11.352500000000001
600435,北方导航,13.51,281137,49787639,13.5763
601058,赛轮轮胎,12.58,490377,45118087,12.6376
000655,金岭矿业,7.67,82618,30420547,7.7294
601212,白银有色,6.83,1268488,745459204,6.8894
000798,中水渔业,9.06,52532,13442100,9.105
002556,辉隆股份,5.61,112378,18242173,5.6433
002410,广联达,10.21,316096,51178370,10.277800000000001
600603,广汇物流,5.42,126623,16850888,5.4956
601319,中国人保,6.84,603496,108220314,6.8919
600428,中远海特,7.73,375606,41334273,7.7861
601187,厦门银行,7.15,151326,11717008,7.1755
601919,中远海控,14.0,843978,84435816,14.066
002103,广博股份,7.72,63051,15162700,7.7566
600258,首旅酒店,13.54,152338,15134610,13.650099999999998
002459,晶澳科技,10.26,462689,142046960,10.3138
600966,博汇纸业,5.99,116382,21265867,6.0551
600733,北汽蓝谷,6.73,670686,252330430,6.758800000000001
600970,中材国际,8.63,231304,27763197,8.708
600422,昆药集团,8.65,105512,13340445,8.752
603187,海容冷链,13.32,90387,3684827,13.4121
002322,理工能科,11.67,51747,6417100,11.7642
601116,三江购物,12.99,99296,43034904,13.0225
000017,深中华A,5.88,77263,43421262,5.9187
