Code,Name,Latest_Close,Latest_Volume,Max_Volume_120d,Low_Price_40d_Threshold
600970,中材国际,9.33,371096,27763197,9.3921
600028,中国石化,5.39,3246548,262942713,5.3907
002401,中远海科,14.19,60844,8208542,14.2488
002543,万和电气,8.25,34996,10825704,8.2962
002096,易普力,10.86,212541,8228010,10.9653
603871,嘉友国际,12.74,223796,16889714,12.8423
603189,网达软件,12.26,0,7248700,12.5222
002691,冀凯股份,5.46,151810,11424591,5.5485
002434,万里扬,7.1,167447,37476100,7.1552
000507,珠海港,5.19,116090,29368373,5.1916
002279,久其软件,7.52,545153,258902495,7.563199999999999
002161,远 望 谷,6.74,349666,45568961,6.7868
600084,中信尼雅,5.35,16512,7446080,5.4064
603277,银都股份,13.03,21276,1531325,13.096499999999999
600302,标准股份,9.54,0,18179600,9.625499999999999
002131,利欧股份,6.45,3847199,1149855144,6.5166
002478,常宝股份,8.95,402869,43702495,9.0976
001299,美能能源,10.94,125265,7561063,11.168
600635,大众公用,5.29,682096,93962542,5.2925
002632,道明光学,11.04,91634,21282950,11.133299999999998
603331,百达精工,14.08,59097,66399631,14.1469
603089,正裕工业,11.59,29432,6839340,11.627600000000001
002139,拓邦股份,10.71,190396,29724833,10.7796
600422,昆药集团,9.5,80331,13340445,9.5719
002258,利尔化学,12.9,130142,30477953,13.0251
600728,佳都科技,5.34,579855,68978372,5.3732999999999995
002698,博实股份,12.78,84126,16995470,12.8553
600721,百花医药,8.43,73936,22971647,8.5131
600399,抚顺特钢,5.47,392321,132101731,5.5279
000913,钱江摩托,13.5,75162,5931100,13.5951
000050,深天马Ａ,7.62,512740,41324834,7.6824
000403,派林生物,11.95,102220,14531861,12.0229
600039,四川路桥,8.19,673515,23531617,8.2617
002918,蒙娜丽莎,10.84,71904,5265347,10.8742
600469,风神股份,6.39,219481,12207287,6.4115
002278,神开股份,10.39,81571,32512600,10.482199999999999
603528,多伦科技,7.72,212042,14798059,7.7608
600828,茂业商业,5.0,135527,37160110,5.0362
600199,金种子酒,7.94,60273,8037203,7.9478
600571,信雅达,12.68,121753,10408819,12.7511
002540,亚太科技,6.04,94272,31365306,6.0471
600080,金花股份,7.62,1640,9608360,7.660200000000001
000532,华金资本,12.66,57152,10499007,12.6684
600603,广汇物流,5.86,119976,16850888,5.9063
600838,上海九百,9.59,62451,49041572,9.6277
603535,嘉诚国际,7.93,92835,3707641,7.971699999999999
002276,万马股份,12.9,338843,49858460,13.0185
600848,上海临港,8.98,105828,17721704,9.0343
002765,蓝黛科技,9.42,133702,20502650,9.4761
603070,万控智造,13.85,123284,6543014,13.9604
603098,森特股份,14.19,183574,9367800,14.2123
603366,日出东方,8.36,77039,95628634,8.377400000000002
002769,普路通,9.88,56446,16537100,9.941500000000001
603218,日月股份,12.75,165366,14545323,12.866999999999999
603105,芯能科技,9.73,259612,15097956,9.854800000000001
002322,理工能科,12.09,54075,6417100,12.1776
600468,百利电气,7.44,278496,39980902,7.5159
002724,海洋王,6.34,197277,35404053,6.3961
000821,京山轻机,10.3,92204,78500274,10.4191
603313,梦百合,6.42,427143,14453880,6.5024999999999995
002036,联创电子,7.68,438471,70786171,7.7841
002099,海翔药业,6.34,481611,22522840,6.3763
002198,嘉应制药,5.84,0,34179601,5.9069
601919,中远海控,14.12,979387,84435816,14.1824
603628,清源股份,12.4,78395,19258356,12.5281
002973,侨银股份,12.59,47457,3682100,12.6473
000498,山东路桥,5.54,338395,15241110,5.5622
600481,双良节能,6.08,471166,223296801,6.0979
002537,海联金汇,7.28,268452,97377519,7.3179
