Code,Name,Latest_Close,Latest_Volume,Max_Volume_120d,Low_Price_40d_Threshold
003000,劲仔食品,11.31,32974,6883748,11.3162
002403,爱仕达,11.74,43832,5421973,11.7814
603535,嘉诚国际,9.89,34005,3707641,9.929
000166,申万宏源,5.01,840376,132305562,5.0147
000036,华联控股,5.38,1102459,114065618,5.4529
600000,浦发银行,9.79,874234,95430026,9.869499999999999
600422,昆药集团,12.28,86778,13340445,12.29
002370,亚太药业,6.88,161760,70333239,6.9094
000566,海南海药,6.03,422876,87850213,6.0731
605300,佳禾食品,11.56,22522,2974084,11.584
000796,凯撒旅业,5.86,374518,54745179,5.8999999999999995
600858,银座股份,6.25,123477,26002300,6.2778
600909,华安证券,6.4,547641,120160496,6.4205
603758,秦安股份,14.69,45561,5977001,14.7685
601963,重庆银行,9.96,130092,9116146,9.990900000000002
601658,邮储银行,5.01,2186035,165001246,5.0249999999999995
000759,中百集团,6.91,136857,24965144,6.947
601939,建设银行,8.65,957903,137679582,8.6689
601566,九牧王,11.58,61605,11560131,11.6188
601398,工商银行,6.92,2439315,469808053,6.9503
600535,天士力,14.49,131965,10519032,14.5167
603081,大丰实业,13.38,47200,5289049,13.413
002731,萃华珠宝,8.94,287604,46350453,9.1285
605008,长鸿高科,12.89,35748,4205366,12.9533
601998,中信银行,7.2,383599,60450737,7.2098
002345,潮宏基,11.78,274278,28666451,11.8497
600958,东方证券,10.11,527705,74500470,10.1496
601881,中国银河,14.61,323064,42287677,14.6661
600748,上实发展,5.23,171261,30877623,5.2308
603567,珍宝岛,8.02,85611,26237966,8.072799999999999
600061,国投资本,7.46,388273,76693892,7.4735
601319,中国人保,8.57,652317,108220314,8.610800000000001
600859,王府井,13.86,114031,42951289,13.8805
002027,分众传媒,7.07,1168306,144917426,7.0991
002174,游族网络,11.19,142985,35956945,11.2147
603101,汇嘉时代,9.31,40698,7285043,9.3384
601288,农业银行,6.4,2129742,685079166,6.438400000000001
603668,天马科技,14.82,61589,7196803,14.849599999999999
002695,煌上煌,11.08,41246,7453800,11.1202
