股票代码,最新价,支撑位,量能萎缩比,历史信号胜率,信号强度,操作建议,name
603088,12.29,12.25,38.5%,56.4%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,宁波精达
000913,14.78,15.0,34.1%,56.4%,80,建议观察，待放量确认,钱江摩托
