股票代码,最新价,支撑位,量能萎缩比,历史信号胜率,信号强度,操作建议,name
000911,6.01,5.91,43.0%,60.0%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,广农糖业
600299,13.92,13.61,44.7%,100.0%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,安迪苏
000822,6.12,6.04,39.6%,100.0%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,山东海化
601226,9.26,9.4,32.0%,100.0%,80,建议观察，待放量确认,华电科工
601058,13.51,13.14,30.0%,59.4%,80,建议观察，待放量确认,赛轮轮胎
002855,11.55,11.24,41.3%,100.0%,80,建议观察，待放量确认,捷荣技术
002654,14.41,14.0,33.2%,100.0%,80,建议观察，待放量确认,万润科技
000905,10.64,10.85,31.6%,100.0%,80,建议观察，待放量确认,厦门港务
603291,11.72,11.49,30.4%,100.0%,80,建议观察，待放量确认,联合水务
601600,12.07,11.76,43.9%,50.8%,80,建议观察，待放量确认,中国铝业
603055,9.11,8.98,25.8%,100.0%,80,建议观察，待放量确认,台华新材
002465,15.93,15.69,40.3%,54.0%,80,建议观察，待放量确认,海格通信
