股票代码,最新价,支撑位,量能萎缩比,历史信号胜率,信号强度,操作建议,name
601339,7.07,6.94,23.7%,74.0%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,百隆东方
002114,10.68,10.38,0.6%,52.0%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,罗平锌电
002584,9.07,9.2,22.4%,51.1%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,西陇科学
002617,9.16,9.05,36.6%,56.5%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,露笑科技
603313,9.76,9.7,34.8%,51.9%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,梦百合
601600,13.53,13.45,0.4%,50.4%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,中国铝业
603779,6.96,6.76,27.4%,53.3%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,威龙股份
600732,14.46,14.1,26.5%,55.9%,80,建议观察，待放量确认,爱旭股份
603811,11.73,11.58,11.0%,58.8%,80,建议观察，待放量确认,诚意药业
600770,6.58,6.6,19.6%,50.8%,80,建议观察，待放量确认,综艺股份
