code,price,pct,turnover,vol_ratio,remark,name
600319,8.37,5.42%,3.85%,3.01,缩量横盘+大阳突破,亚星化学
603012,9.55,10.02%,7.8%,2.9,缩量横盘+大阳突破,创力集团
605169,13.04,10.04%,3.95%,3.1,缩量横盘+大阳突破,洪通燃气
002861,17.9,5.42%,8.81%,2.58,缩量横盘+大阳突破,瀛通通讯
002030,6.64,9.93%,5.68%,6.49,缩量横盘+大阳突破,达安基因
002973,13.97,10.0%,4.42%,3.28,缩量横盘+大阳突破,侨银股份
