Code,Name,Latest_Close,Latest_Volume,Max_Volume_120d,Low_Price_40d_Threshold
002811,郑中设计,10.33,40173,7372000,10.4206
002406,远东传动,6.12,200195,19735200,6.2049
600722,金牛化工,7.8,371966,82731439,7.9318
000712,锦龙股份,8.28,175626,14826073,8.369399999999999
002600,领益智造,13.64,2866391,146227029,13.761700000000001
000060,中金岭南,6.11,1255225,432458835,6.191000000000001
002205,国统股份,9.77,38546,2925700,9.9032
000830,鲁西化工,11.44,248003,53003058,11.5369
000803,山高环能,6.4,92681,19672904,6.46
601798,蓝科高新,6.78,68999,8757600,6.8433
002358,森源电气,5.08,146354,114898894,5.1493
605018,长华集团,12.26,68127,2701900,12.4313
600711,盛屯矿业,9.97,987114,157181970,10.075000000000001
603085,天成自控,10.65,94270,16258450,10.666400000000001
002012,凯恩股份,5.74,126095,9603902,5.8573
603709,中源家居,13.11,20576,3407356,13.2822
603218,日月股份,9.34,86771,14545323,9.4336
603885,吉祥航空,10.03,226188,12341672,10.086699999999999
603803,瑞斯康达,10.88,218768,12027699,11.0336
600596,新安股份,11.33,801113,35902191,11.5241
600158,中体产业,6.23,456520,37462838,6.4367
601615,明阳智能,10.35,879466,332097022,10.6005
002795,永和智控,5.88,188966,24757868,6.0096
601969,海南矿业,7.79,156906,72136311,7.8893
600855,航天长峰,12.44,182132,26885346,12.668
603042,华脉科技,11.19,98438,8985563,11.532
000859,国风新材,7.97,304431,94773803,8.0912
603070,万控智造,10.86,28560,6543014,11.0787
600577,精达股份,7.88,732849,108146464,8.0933
603089,正裕工业,8.16,33875,6839340,8.1608
603637,镇海股份,12.54,101210,18799456,12.828299999999999
001299,美能能源,9.67,40026,7561063,9.7933
002201,九鼎新材,8.11,285858,148521094,8.265099999999999
000155,川能动力,10.58,269415,58553215,10.748
600973,宝胜股份,5.8,238542,81166341,6.0835
600651,飞乐音响,5.39,215539,47778141,5.445799999999999
002434,万里扬,5.79,249271,37476100,5.8524
603366,日出东方,6.33,118693,95628634,6.3448
000957,中通客车,8.99,75422,18586757,9.0617
601600,中国铝业,8.11,2011944,780948235,8.2197
002669,康达新材,12.62,189213,13720300,12.815299999999999
600156,华升股份,7.73,160766,5515600,7.9058
600250,南京商旅,7.66,71311,13508500,7.7287
