Code,Name,Latest_Close,Latest_Volume,Max_Volume_120d,Low_Price_40d_Threshold
002406,远东传动,6.51,235741,19735200,6.5347
000060,中金岭南,6.49,1327694,432458835,6.5596000000000005
000830,鲁西化工,11.74,258711,53003058,11.7799
002358,森源电气,5.31,170565,114898894,5.3142
605018,长华集团,13.12,57399,2701900,13.2655
002012,凯恩股份,6.11,123620,9603902,6.1774000000000004
600158,中体产业,6.54,532225,37462838,6.5872
601969,海南矿业,7.94,176186,72136311,8.009
603042,华脉科技,12.22,121677,8985563,12.3468
000967,盈峰环境,9.08,775925,29282100,9.2075
603070,万控智造,11.48,39000,6543014,11.5249
600577,精达股份,8.63,698048,108146464,8.8208
603637,镇海股份,13.55,80276,18799456,13.6237
001299,美能能源,9.97,30630,7561063,10.0455
002849,威星智能,14.96,90114,11082070,15.0686
000155,川能动力,10.9,282065,58553215,11.0584
600973,宝胜股份,6.27,229833,81166341,6.4036
002434,万里扬,6.0,250999,37476100,6.0076
000957,中通客车,9.32,70679,18586757,9.3317
002669,康达新材,13.54,234745,13720300,13.707699999999999
002372,伟星新材,7.98,248993,22512573,8.0275
002340,格林美,6.54,1141800,314022733,6.5588
600331,宏达股份,10.64,392946,91033462,10.8644
605077,华康股份,10.54,59799,3032607,10.5948
600538,国发股份,5.27,118561,17212691,5.3206999999999995
603033,三维股份,8.3,117202,10167170,8.399000000000001
002531,天顺风能,7.56,385357,38106434,7.667599999999999
603166,福达股份,10.87,163584,21465033,11.0407
002918,蒙娜丽莎,9.4,120355,5265347,9.4538
603006,联明股份,12.47,67579,3905083,12.521099999999999
000586,汇源通信,12.28,72194,8400116,12.4414
002164,宁波东力,11.32,133802,32869139,11.331900000000001
603808,歌力思,7.6,53454,5941095,7.6132
002196,方正电机,11.96,326008,94587793,11.9924
000758,中色股份,5.76,332218,231090263,5.8161
002459,晶澳科技,7.61,554603,142046960,7.6344
603429,集友股份,7.7,37206,9881490,7.7951
002591,恒大高新,6.18,146701,17333101,6.3273
600838,上海九百,7.06,133441,49041572,7.0958
002448,中原内配,11.32,173506,22610305,11.4337
002708,光洋股份,11.3,233890,14528200,11.4404
603158,腾龙股份,11.32,153025,25826010,11.3627
603095,越剑智能,13.35,43968,18174364,13.351799999999999
000949,新乡化纤,5.51,623185,95501377,5.7248
001322,箭牌家居,6.19,44311,10978600,6.404
000600,建投能源,8.03,256971,30293588,8.108
600773,西藏城投,12.2,650091,24012656,12.4643
603088,宁波精达,9.34,91187,13219700,9.4132
002846,英联股份,9.88,52650,15477458,10.0195
002125,湘潭电化,11.76,241162,32276409,12.004199999999999
002590,万安科技,9.55,82447,15220256,9.664900000000001
603328,依顿电子,10.89,246857,27937380,11.0175
002026,山东威达,10.57,53936,21957782,10.6438
002083,孚日股份,9.3,256391,76098572,9.456999999999999
002527,新时达,11.52,228390,26044573,11.6631
603680,今创集团,9.92,40332,8179522,9.971400000000001
605056,咸亨国际,14.77,57602,24511895,15.088899999999999
002322,理工能科,9.86,27942,6417100,9.904
002096,易普力,8.8,77469,8228010,8.823500000000001
002537,海联金汇,5.35,277964,97377519,5.4094999999999995
603730,岱美股份,10.89,215690,26115200,10.9878
600589,大位科技,8.71,798379,427497762,8.850100000000001
601061,中信金属,10.66,127412,36883304,10.765
605299,舒华体育,12.6,72901,23044300,12.8919
000590,启迪药业,8.19,53240,5555800,8.2752
600095,湘财股份,7.46,268119,32561074,7.5077
002729,好利科技,14.19,85299,9005554,14.4117
601777,千里科技,7.79,320706,70786637,7.871
002181,粤 传 媒,9.1,625971,89828560,9.3741
605183,确成股份,14.31,15964,2714800,14.320500000000001
600730,中国高科,10.35,98595,21969078,10.4979
002560,通达股份,6.86,318335,47789807,6.9192
002587,奥拓电子,5.86,258057,20910350,5.9185
600268,国电南自,10.76,146214,63380372,10.8231
600152,维科技术,8.46,200361,26596900,8.5696
002255,海陆重工,8.45,179274,42531662,8.4995
603458,勘设股份,8.69,186252,22697466,8.896099999999999
600189,泉阳泉,7.08,111650,32615987,7.1376
000058,深 赛 格,6.12,84471,15690706,6.244400000000001
605336,帅丰电器,10.3,27655,17528047,10.544500000000001
600884,杉杉股份,11.76,636933,115676553,11.8659
600338,西藏珠峰,13.25,452241,87947272,13.4894
