Code,Name,Latest_Close,Latest_Volume,Max_Volume_120d,Low_Price_40d_Threshold
002205,国统股份,10.17,34876,2925700,10.2136
603677,奇精机械,12.92,24732,2335500,12.9734
002043,兔 宝 宝,11.22,104003,11997711,11.2354
002358,森源电气,5.58,189052,114898894,5.592
603162,海通发展,9.24,194209,18432596,9.2787
000506,招金黄金,11.46,353983,132451374,11.629800000000001
002632,道明光学,8.92,118462,21282950,8.958499999999999
600158,中体产业,6.85,514389,37462838,6.9752
600629,华建集团,11.99,206562,27263315,12.2227
603042,华脉科技,13.92,124187,8985563,14.100900000000001
002082,万邦德,11.0,153759,10818500,11.016499999999999
603070,万控智造,12.57,51462,6543014,12.591899999999999
600577,精达股份,9.48,801725,108146464,9.5871
603637,镇海股份,14.32,195496,18799456,14.5549
002434,万里扬,5.99,233547,37476100,6.0076
601600,中国铝业,8.2,2739221,780948235,8.3182
002716,湖南白银,8.12,794700,664349444,8.1889
600331,宏达股份,10.8,423931,91033462,11.0244
002951,金时科技,13.35,58781,2049300,13.6932
603327,福蓉科技,8.32,379656,23378890,8.4154
605077,华康股份,10.96,61003,3032607,11.0563
002531,天顺风能,8.31,380768,38106434,8.433900000000001
001330,博纳影业,5.71,751173,125401900,5.7427
603778,国晟科技,11.72,615468,81238510,12.2057
605122,四方新材,10.88,36903,6303220,10.9078
603165,荣晟环保,13.12,39455,6191920,13.1455
002474,榕基软件,5.88,195149,47342279,5.9325
002357,富临运业,8.9,100786,15090620,9.0146
002667,威领股份,11.28,204515,52475194,11.386800000000001
002571,德力股份,10.37,53140,13089449,10.3925
002591,恒大高新,6.32,140112,17333101,6.3273
601058,赛轮轮胎,11.43,475056,45118087,11.500499999999999
002448,中原内配,11.85,173018,22610305,11.9835
603321,梅轮电梯,5.86,52071,5044500,6.0065
601288,农业银行,6.05,3144410,685079166,6.0755
603889,新澳股份,5.08,161865,7337144,5.188
603385,惠达卫浴,5.04,63209,4360690,5.1107
601212,白银有色,5.07,1084812,745459204,5.1321
002492,恒基达鑫,5.49,76009,41382287,5.4946
600969,郴电国际,7.69,80040,8404120,7.7244
603277,银都股份,10.07,10979,1531325,10.0877
603095,越剑智能,14.3,42454,18174364,14.5138
600444,国机通用,13.17,25701,4567700,13.1837
001322,箭牌家居,6.16,45242,10978600,6.404
600996,贵广网络,6.76,382979,27475443,6.8467
603703,盛洋科技,10.81,124000,25422850,10.84
600970,中材国际,7.05,282355,27763197,7.1255999999999995
601398,工商银行,7.06,3287996,469808053,7.0622
605055,迎丰股份,10.13,56205,3960300,10.272200000000002
601187,厦门银行,6.8,166917,11717008,6.8372
600736,苏州高新,6.75,310598,115276532,6.7881
600232,金鹰股份,6.3,80700,13242640,6.3825
603861,白云电器,12.86,177939,38003925,13.0232
601598,中国外运,5.1,150781,33746274,5.1382
002322,理工能科,9.8,33188,6417100,9.904
002478,常宝股份,6.24,165624,43702495,6.2721
605299,舒华体育,13.44,77243,23044300,13.763399999999999
002798,帝欧水华,5.05,125712,10821409,5.0947000000000005
000590,启迪药业,8.41,59035,5555800,8.4886
600490,鹏欣资源,5.85,455130,184552013,5.9199
600590,泰豪科技,10.06,274611,114645766,10.21
002973,侨银股份,10.4,43358,3682100,10.4825
002181,粤 传 媒,9.89,423766,89828560,10.4896
601777,千里科技,7.97,466767,70786637,8.107099999999999
605500,森林包装,6.31,77717,4498800,6.3492
000039,中集集团,8.09,315872,49832217,8.248099999999999
002560,通达股份,7.39,348843,47789807,7.6633
002532,天山铝业,10.82,877084,67388671,10.921100000000001
600268,国电南自,11.62,159207,63380372,11.7706
600152,维科技术,9.69,357069,26596900,9.8616
002350,北京科锐,13.47,131059,27907337,13.5249
603878,武进不锈,5.23,178083,50316859,5.242299999999999
000058,深 赛 格,6.3,74293,15690706,6.3511
605336,帅丰电器,12.94,3858,17528047,13.1137
000425,徐工机械,8.13,1522105,140824910,8.1764
601919,中远海控,13.16,703852,84435816,13.2158
002040,南 京 港,7.68,79144,44262106,7.7092
