Code,Name,Latest_Close,Latest_Volume,Max_Volume_120d,Low_Price_40d_Threshold
002012,凯恩股份,6.4,137273,9603902,6.4975000000000005
603803,瑞斯康达,11.17,154605,12027699,11.2642
600158,中体产业,6.8,708055,37462838,6.9752
603042,华脉科技,13.27,99091,8985563,13.5868
002201,九鼎新材,10.31,241359,148521094,10.349
000155,川能动力,12.01,231724,58553215,12.033700000000001
002575,群兴玩具,5.6,246506,97643740,5.6088
600719,大连热电,7.74,160519,7314820,7.8036
001330,博纳影业,5.49,671396,125401900,5.6166
603778,国晟科技,11.62,674794,81238510,12.0811
002474,榕基软件,5.86,145645,47342279,5.9325
002331,皖通科技,7.22,110387,24486767,7.2288
002571,德力股份,10.3,72944,13089449,10.382800000000001
601288,农业银行,5.9,3675217,685079166,5.930000000000001
000949,新乡化纤,6.35,668129,95501377,6.5299
001322,箭牌家居,6.31,136928,10978600,6.404
600773,西藏城投,12.93,185037,24012656,13.0819
603058,永吉股份,8.75,50392,14273700,8.8183
002125,湘潭电化,13.0,416453,32276409,13.207
601398,工商银行,7.04,3040722,469808053,7.0622
601187,厦门银行,6.76,139572,11717008,6.7984
600736,苏州高新,6.65,229151,115276532,6.6717
605299,舒华体育,13.56,162206,23044300,13.763399999999999
002181,粤 传 媒,9.36,651557,89828560,10.0434
600126,杭钢股份,6.05,384882,101192599,6.116499999999999
002560,通达股份,7.58,365518,47789807,7.6633
002177,御银股份,5.59,201880,56885821,5.6286
600191,华资实业,9.19,55198,11540932,9.203199999999999
600152,维科技术,9.34,262619,26596900,9.5221
600986,浙文互联,6.84,611567,525673068,6.9699
603458,勘设股份,11.04,314479,22697466,11.1756
000058,深 赛 格,6.29,65919,15690706,6.3511
605336,帅丰电器,12.18,53885,17528047,12.3765
600884,杉杉股份,13.07,573764,115676553,13.1786
600558,大西洋,5.06,188761,30081452,5.41
