代码,名称,当前价,今日涨幅,真实量增,信号强度,操作建议,止损点
002072,凯瑞德,8.0,3.9%,1.41倍,80分,积极参与,7.7
002745,木林森,10.26,2.09%,0.98倍,60分,重点关注,10.03
