代码,名称,当前价,今日涨幅,真实量增,信号强度,操作建议,止损点
600172,黄河旋风,10.99,10.01%,0.55倍,80分,积极参与,9.95
002611,东方精工,19.17,2.57%,0.72倍,80分,积极参与,18.68
600449,宁夏建材,14.86,6.6%,1.32倍,80分,积极参与,13.9
