StockCode,Latest_Close,MA5,MA20,StockName
600644,10.29,10.187999999999999,10.0715,乐山电力
002196,15.41,15.138,13.5315,
002088,11.35,10.748000000000001,10.689,
603739,15.3,14.693999999999999,14.337,蔚蓝生物
002761,8.76,8.73,8.572,
603176,5.44,5.378,5.2835,汇通集团
605077,15.71,15.453999999999999,14.993,华康股份
600961,17.75,17.176,16.324,株冶集团
600352,11.28,11.190000000000001,10.796499999999998,浙江龙盛
603070,13.23,13.142000000000001,12.892,万控智造
605180,14.7,14.674000000000001,14.342000000000002,华生科技
000726,7.2,7.162000000000001,7.095999999999999,
601965,17.66,17.43,17.162,中国汽研
002908,10.79,10.544,9.702,
002365,15.83,15.607999999999999,15.242500000000001,
600732,13.65,13.608,13.269499999999999,爱旭股份
600320,5.3,5.138,4.902,振华重工
002932,18.76,18.759999999999998,18.110500000000002,
600867,8.51,8.436,8.425999999999998,通化东宝
000852,7.75,7.43,7.2445,
603995,19.19,18.6,17.964,甬金股份
601001,14.5,14.104,13.876000000000001,晋控煤业
002635,14.2,14.046000000000001,13.773,
002322,12.63,12.554,12.11,
603980,5.13,5.1,5.0875,吉华集团
000877,5.47,5.4399999999999995,5.395,
002849,17.55,16.522,15.1595,
000020,14.82,14.607999999999995,14.4025,
002400,10.37,9.524,8.6105,
002111,10.75,10.588,10.184999999999999,
002803,17.97,17.444,16.589,
002520,6.36,6.2860000000000005,6.1579999999999995,
000409,11.81,11.440000000000001,11.117500000000001,
002474,10.38,10.240000000000002,9.8745,
603636,12.61,12.191999999999998,12.137,南威软件
002036,12.26,12.062000000000001,11.2815,
002649,14.41,13.536000000000001,13.0555,
600714,13.14,12.638000000000002,12.253499999999999,金瑞矿业
603926,18.17,17.457999999999995,16.365,铁流股份
600367,18.65,18.094,17.1405,红星发展
002052,13.56,13.180000000000001,12.663,
600476,16.48,16.164,15.725999999999999,湘邮科技
002131,7.46,6.731999999999999,5.528499999999999,
002580,13.22,12.912,12.55,
603291,10.74,10.384,9.918,联合水务
002708,13.46,13.288,12.825999999999999,
600658,6.03,5.8,5.5760000000000005,电子城
605577,13.96,13.546000000000001,12.9695,龙版传媒
603138,15.18,14.780000000000001,14.1875,海量数据
002471,8.22,8.104,6.4965,
002866,18.35,18.256,17.783499999999997,
002033,9.3,9.227999999999998,9.1795,
000758,7.03,6.862,6.3865,
002139,14.04,13.975999999999999,13.663999999999998,
002945,17.8,17.516,15.229999999999999,
600202,5.93,5.839999999999999,5.8345,哈空调
603006,13.28,13.244,13.023,联明股份
600168,5.17,5.144,5.1305,武汉控股
601858,19.52,18.682,18.023000000000003,中国科传
002782,19.19,18.906,18.401500000000002,
600375,6.15,6.098000000000001,5.9719999999999995,汉马科技
603858,16.58,16.369999999999997,16.3,步长制药
603041,12.3,12.176,11.979,美思德
603279,17.3,17.113999999999997,15.9435,景津装备
002753,7.22,7.192,7.147499999999999,
000626,8.09,8.03,7.9285,
002817,7.8,7.712000000000001,7.702000000000001,
601019,8.83,8.796000000000001,8.682500000000001,山东出版
000987,10.13,9.228,8.001000000000001,
600251,9.49,9.478000000000002,9.0265,冠农股份
000501,11.1,10.379999999999999,10.1385,
002350,8.89,8.588,8.4945,
601319,9.84,9.76,9.1915,中国人保
002286,9.62,9.558,9.1615,
600097,11.85,11.662,11.5855,开创国际
000783,8.64,8.597999999999999,8.2485,
603528,11.2,10.928,10.377999999999998,多伦科技
603916,11.25,10.352,9.736500000000001,苏博特
