StockCode,Latest_Close,MA5,MA20,StockName
002284,16.78,16.506,15.5155,
600644,11.2,10.975999999999999,10.256,乐山电力
002196,18.68,16.444,15.029999999999998,
603823,17.33,16.93,15.9875,百合花
002946,19.45,19.205999999999996,18.752000000000002,
002246,19.85,19.770000000000003,18.5,
600961,18.89,18.588,17.073,株冶集团
600352,13.16,12.096,11.2785,浙江龙盛
000683,8.67,8.190000000000001,7.635,
603070,14.34,13.786000000000001,13.171000000000001,万控智造
605180,14.84,14.754,14.550999999999998,华生科技
600116,6.63,6.597999999999999,6.561,三峡水利
603050,18.77,18.426000000000002,18.0375,科林电气
600732,14.1,13.868,13.512,爱旭股份
603995,18.91,18.901999999999997,18.438000000000002,甬金股份
002635,14.48,14.334,14.095499999999998,
002322,13.11,12.99,12.407499999999999,
000020,14.54,14.498,14.310999999999998,
002400,10.99,10.934000000000001,10.165,
002803,19.88,19.458,17.490000000000002,
002587,6.97,6.9239999999999995,6.7425,
002580,13.29,13.163999999999998,12.77,
603291,11.68,11.172,10.237,联合水务
000600,8.81,8.777999999999999,8.6035,
002658,9.49,9.222,8.99,
000758,7.08,7.023999999999999,6.647,
002139,14.41,14.246,13.948000000000002,
000739,18.28,18.174,17.0235,
603006,14.38,14.207999999999998,13.467500000000001,联明股份
600168,5.24,5.191999999999999,5.154000000000001,武汉控股
600375,6.41,6.26,6.0775,汉马科技
000708,16.11,15.95,15.9325,
002753,7.29,7.272,7.199,
000993,12.9,12.764000000000001,12.488,
600251,9.87,9.706,9.343,冠农股份
002350,9.11,8.894,8.5165,
600097,11.95,11.838,11.656,开创国际
000422,16.0,15.552000000000001,14.868500000000001,
601615,19.68,17.444,15.031,明阳智能
601311,9.48,9.441999999999998,9.275,骆驼股份
002186,12.39,12.134,11.988,
000035,5.94,5.836,5.677,
603212,15.23,14.792000000000002,14.588,赛伍技术
002085,16.98,16.976000000000003,16.1325,
002283,7.19,6.574000000000001,6.327,
600769,13.36,13.224,12.5875,祥龙电业
002237,15.02,14.706,13.8105,
002439,15.01,14.916,14.714500000000001,
001239,16.83,16.602,16.3805,
603309,14.22,14.026000000000002,13.836500000000001,维力医疗
603856,13.13,13.018,12.6755,东宏股份
002208,15.85,14.638,12.916,
603118,12.18,11.904,11.8215,共进股份
002429,9.19,8.919999999999998,7.75,
601669,5.78,5.498,5.3285,中国电建
000027,7.01,6.896000000000001,6.677,
002716,11.15,9.802,7.7655,
002448,14.26,13.99,13.261,
002096,13.39,13.382000000000001,13.378499999999999,
600237,10.15,9.986,9.398,铜峰电子
603328,11.34,11.25,11.172,依顿电子
600510,8.93,8.767999999999997,8.7305,黑牡丹
600449,12.82,12.75,12.542,宁夏建材
002743,5.8,5.7219999999999995,5.522499999999999,
603788,17.16,16.964,16.5445,宁波高发
002546,8.26,7.4799999999999995,7.168000000000001,
003025,14.98,14.74,14.302000000000001,
600189,7.37,7.295999999999999,7.135499999999999,泉阳泉
603213,13.61,13.489999999999998,13.238999999999999,镇洋发展
600768,16.03,16.026000000000003,14.613000000000003,宁波富邦
603759,11.7,11.158,10.6285,海天股份
600246,14.03,13.108,12.6725,万通发展
002381,6.81,6.802,6.6815,
603318,7.13,7.014,6.7829999999999995,水发燃气
603861,15.22,14.986,13.3295,白云电器
603966,13.68,13.667999999999997,12.2545,法兰泰克
002185,12.7,12.026,11.3515,
002617,9.46,9.278,8.4615,
002842,19.3,17.602,15.299000000000001,
000899,10.46,10.422000000000002,10.1635,
603310,17.2,17.156,17.0745,巍华新材
600746,7.49,7.3340000000000005,7.1145,江苏索普
600106,6.67,6.518000000000001,6.3615,重庆路桥
002806,12.88,12.672,12.433,
002591,7.54,7.394,7.340999999999999,
600026,14.03,13.951999999999998,12.421000000000001,中远海能
603801,9.41,9.4,9.2715,志邦家居
002576,18.4,18.172,17.490499999999997,
601218,5.23,5.226000000000001,5.141,吉鑫科技
002449,8.86,8.819999999999999,8.5615,
603166,17.7,17.224000000000004,16.142500000000002,福达股份
600379,12.69,12.494000000000002,11.9855,宝光股份
002010,6.8,6.675999999999999,6.2715000000000005,
002249,11.62,11.29,10.894,
600219,6.53,6.232000000000001,5.6754999999999995,南山铝业
601800,8.53,8.446,8.354,中国交建
603172,19.14,18.482,18.055,万丰股份
600744,6.63,6.286,6.082,华银电力
600268,12.24,12.117999999999999,11.084999999999999,国电南自
000045,12.38,12.320000000000002,12.193,
002328,7.11,7.078,6.858,
002729,19.05,18.762000000000004,16.809500000000003,
600302,12.1,11.161999999999999,10.5265,标准股份
603037,19.04,17.508,15.611499999999998,凯众股份
603058,10.56,9.873999999999999,9.619,永吉股份
002427,7.24,7.15,6.738000000000001,
002637,10.77,10.617999999999999,10.391499999999999,
603848,19.02,18.991999999999997,18.697,好太太
002490,8.18,8.09,7.4030000000000005,
002358,6.45,5.978,5.717499999999999,
002376,8.07,7.926,7.7780000000000005,
000610,13.17,12.99,12.6805,
000636,18.84,17.81,16.771,
600774,9.62,9.602,9.434000000000001,汉商集团
600405,5.6,5.598,5.3525,动力源
002039,18.97,18.562000000000005,18.299,
603231,19.45,19.164,18.670499999999997,索宝蛋白
603336,9.09,8.722,8.6735,宏辉果蔬
601033,15.53,15.456,15.252,永兴股份
600531,13.98,13.722,12.397499999999999,豫光金铅
605158,8.23,8.196000000000002,8.0455,华达新材
601179,13.05,12.612,10.3665,中国西电
002671,5.58,5.486,5.327500000000001,
000525,5.58,5.578,5.5735,
