代码,名称,当前价,今日涨幅,真实量增,信号强度,操作建议,止损点
605050,福然德,14.66,2.23%,0.8倍,80分,积极参与,14.33
000617,中油资本,10.64,3.91%,1.14倍,60分,重点关注,10.2
002645,华宏科技,17.24,4.11%,1.23倍,60分,重点关注,16.5
