股票代码,最新价,支撑位,量能萎缩比,历史信号胜率,信号强度,操作建议,name
600469,6.63,6.58,41.9%,64.8%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,风神股份
600633,13.94,13.6,36.5%,100.0%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,浙数文化
002467,7.06,7.08,22.2%,100.0%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,二六三
603055,9.18,8.98,29.6%,100.0%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,台华新材
603088,12.64,12.29,31.0%,56.0%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,宁波精达
600063,6.71,6.57,24.4%,51.4%,80,建议观察，待放量确认,皖维高新
000731,6.9,6.91,27.0%,100.0%,80,建议观察，待放量确认,四川美丰
601058,13.78,13.8,28.9%,59.4%,80,建议观察，待放量确认,赛轮轮胎
601600,11.9,11.76,41.2%,50.8%,80,建议观察，待放量确认,中国铝业
002033,9.22,9.36,38.9%,59.1%,80,建议观察，待放量确认,丽江股份
