股票代码,最新价,支撑位,量能萎缩比,历史信号胜率,信号强度,操作建议,name
002723,9.13,9.06,44.7%,100.0%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,小崧股份
000906,6.37,6.23,21.7%,100.0%,80,建议观察，待放量确认,浙商中拓
002429,12.34,12.0,31.5%,66.7%,80,建议观察，待放量确认,兆驰股份
600956,8.52,8.58,27.1%,62.5%,80,建议观察，待放量确认,新天绿能
600538,6.58,6.7,40.0%,61.3%,80,建议观察，待放量确认,国发股份
