StockCode,Latest_Close,MA5,MA20,StockName
600639,11.16,10.8,10.6245,浦东金桥
601825,8.93,8.76,8.5435,沪农商行
002382,7.99,7.4159999999999995,6.464499999999999,
600057,8.57,8.456,8.356,厦门象屿
601169,5.52,5.484,5.422,北京银行
601838,17.41,17.253999999999998,16.719,成都银行
600054,13.8,13.36,12.8405,黄山旅游
601107,6.55,6.359999999999999,6.340000000000001,四川成渝
600667,11.59,10.812,10.404,太极实业
600267,10.58,10.535999999999998,10.386999999999999,海正药业
600573,12.46,12.398,12.1175,惠泉啤酒
002459,12.72,12.7,12.2635,
000989,9.07,9.066,8.915,
000014,14.54,14.501999999999999,13.894,
600864,6.53,6.502,6.468999999999999,哈投股份
600930,6.8,6.544,6.1339999999999995,华电新能
600000,10.38,10.235999999999999,9.9515,浦发银行
601607,17.31,17.259999999999998,17.206,上海医药
605218,19.82,19.296,19.103,伟时电子
600104,14.63,14.518,14.307999999999998,上汽集团
603527,12.73,12.266,11.33,众源新材
600810,8.71,8.661999999999999,8.489,神马股份
002736,12.74,12.314000000000002,12.3125,
002427,7.96,7.412000000000001,7.4,
600313,8.93,8.596,8.167,农发种业
000890,13.42,11.190000000000001,8.4575,
600336,7.94,7.795999999999999,7.6885,澳柯玛
600908,6.03,5.938,5.889,无锡银行
600470,8.88,8.72,7.8774999999999995,六国化工
600720,7.3,7.296000000000001,7.277500000000001,中交设计
601658,5.17,5.09,5.046,邮储银行
600901,6.61,6.506,6.411,江苏金租
002585,7.93,7.798,7.6,
603332,14.77,14.002,13.742499999999998,苏州龙杰
600032,9.26,9.046,8.4205,浙江新能
002165,12.79,12.234,12.080000000000002,
002627,9.26,9.028,8.699000000000002,
002724,7.94,7.786,7.6985,
603105,11.14,10.83,10.443000000000001,芯能科技
601998,7.82,7.5280000000000005,7.359999999999999,中信银行
002235,11.37,11.116,10.622499999999999,
002020,16.46,16.19,16.1825,
603817,8.34,7.896000000000001,7.267,海峡环保
600177,7.73,7.523999999999999,7.287999999999999,雅戈尔
601229,10.05,9.862,9.8325,上海银行
000019,7.71,7.587999999999999,7.325500000000001,
002797,7.71,7.6800000000000015,7.3775,
600805,5.71,5.648,5.6015,悦达投资
000617,9.89,9.312000000000001,9.112,
600012,15.54,15.15,14.530000000000001,皖通高速
600081,11.93,11.855999999999998,11.751500000000002,东风科技
000429,12.73,12.634,12.302,
603210,19.21,19.125999999999998,19.1005,泰鸿万立
600328,10.37,10.152,9.529,中盐化工
000020,17.53,15.443999999999999,14.967500000000001,
000978,7.38,7.2780000000000005,7.1305,
603357,8.72,8.443999999999999,8.350999999999999,设计总院
002490,11.83,11.618,10.3965,
601528,5.7,5.6,5.4765,瑞丰银行
000995,16.56,15.785999999999998,15.750499999999999,
000007,14.58,14.094000000000003,13.227,
600350,10.44,9.972,9.8395,山东高速
002419,5.77,5.668,5.6155,
601009,11.53,11.262,11.256499999999999,南京银行
600756,18.16,17.077999999999996,16.9145,浪潮软件
002852,11.67,11.549999999999999,11.1005,
603366,10.04,9.806000000000001,9.6135,日出东方
601330,9.7,9.011999999999999,7.731999999999999,绿色动力
000990,9.81,9.693999999999999,9.001,
001258,9.62,9.614,8.4725,
603801,9.76,9.626000000000001,9.4915,志邦家居
603880,7.4,7.340000000000001,6.852000000000001,南卫股份
600872,19.14,18.672,18.64,中炬高新
002645,17.35,16.906,16.395999999999997,
002575,8.53,8.298000000000002,7.8709999999999996,
601577,10.01,9.814,9.7885,长沙银行
000001,11.03,10.942,10.894499999999999,
603421,9.9,9.878000000000002,8.608,鼎信通讯
603387,9.44,8.626000000000001,8.5815,基蛋生物
605299,13.3,13.069999999999999,12.48,舒华体育
000695,14.31,14.298000000000002,13.309999999999999,
601997,5.92,5.882,5.819999999999999,贵阳银行
000888,13.73,13.678,13.529500000000002,
002950,11.43,10.952,10.843,
000822,6.74,6.7219999999999995,6.6935,
603693,15.88,14.925999999999998,13.5495,江苏新能
001236,10.43,10.213999999999999,10.0885,
002461,9.82,9.78,9.565,
601077,7.08,6.936,6.7075000000000005,渝农商行
600773,17.62,17.548000000000002,15.342000000000002,西藏城投
603323,5.11,5.066000000000001,5.039,苏农银行
002543,9.31,9.302000000000001,9.1595,
001965,10.25,10.2,9.8375,
600249,6.0,5.922,5.8955,两面针
600429,5.58,5.402000000000001,5.2825,三元股份
601665,5.79,5.779999999999999,5.75,齐鲁银行
600152,10.24,9.968,9.1385,维科技术
601728,6.1,6.078,5.882499999999999,中国电信
600956,10.72,9.714,8.301,新天绿能
000789,5.77,5.768,5.701,
002840,10.2,10.081999999999999,9.8725,
603110,17.66,17.426,17.1815,东方材料
603558,14.11,12.831999999999999,12.139999999999999,健盛集团
002242,10.49,10.288,10.2155,
603990,15.22,14.984,14.689000000000002,麦迪科技
603777,13.47,13.292000000000002,12.982499999999998,来伊份
600250,11.59,11.52,11.294999999999998,南京商旅
002884,18.68,18.562,18.1775,
600377,12.48,12.378,12.155999999999999,宁沪高速
601218,7.16,6.7299999999999995,5.8965000000000005,吉鑫科技
