StockCode,Latest_Close,MA5,MA20,StockName
600516,6.23,6.196,5.8645,方大炭素
603167,9.95,9.824,9.6345,渤海轮渡
000708,17.72,17.449999999999996,16.064,
000713,7.11,7.023999999999999,6.9435,
000731,7.74,7.710000000000001,7.109,
603689,9.56,8.716,8.495999999999999,皖天然气
603477,17.98,17.634,17.5735,巨星农牧
000531,6.77,6.758,6.556,
600023,5.4,5.29,5.0504999999999995,浙能电力
603053,11.33,10.356,10.179,成都燃气
603128,6.15,6.04,5.968,华贸物流
600027,5.16,5.066000000000001,4.931,华电国际
002039,18.21,17.908,17.4735,
001289,17.08,16.526,15.860499999999998,
600018,5.19,5.1080000000000005,5.0435,上港集团
600123,6.98,6.524000000000001,6.2585,兰花科创
002274,6.69,6.58,6.3795,
002019,13.32,13.166,12.4295,
000035,7.37,6.9799999999999995,6.2620000000000005,
000421,7.73,7.176,7.105499999999999,
601952,9.92,9.616,9.499,苏垦农发
002267,9.04,8.192,7.9350000000000005,
603798,16.21,16.131999999999998,16.03,康普顿
601003,5.6,5.586,5.252000000000001,柳钢股份
600167,7.03,7.022,6.981,联美控股
600398,6.37,6.3340000000000005,6.214,海澜之家
600032,8.31,8.248000000000001,8.009,浙江新能
601083,13.73,12.608,12.013000000000002,锦江航运
002655,16.89,16.580000000000002,14.244,
000968,10.41,9.1,8.294,
000096,13.27,11.624,11.220500000000001,
002140,12.76,12.596,12.236,
600997,6.77,6.43,6.250500000000001,开滦股份
002055,7.7,7.69,7.3895,
600744,8.39,7.618,6.712999999999999,华银电力
002797,7.49,7.414,7.059,
601139,7.87,7.15,6.905499999999999,深圳燃气
600746,8.22,8.122,7.8175,江苏索普
605162,9.78,9.642,9.3435,新中港
600011,7.43,7.228,7.044,华能国际
603056,18.85,18.444,15.129,德邦股份
000791,7.96,7.581999999999999,6.9375,
600623,10.52,9.884,9.653,华谊集团
600318,9.39,9.174000000000001,8.813500000000001,新力金融
000899,13.73,13.669999999999998,11.417,
600644,13.23,12.530000000000001,11.513000000000002,乐山电力
601330,7.36,7.316,7.193,绿色动力
600780,6.52,6.470000000000001,6.2170000000000005,通宝能源
600508,13.9,13.184000000000001,12.713000000000001,上海能源
603223,10.71,9.952,9.839,恒通股份
603169,11.47,11.01,10.733,兰石重装
605169,15.37,13.969999999999999,13.581999999999999,洪通燃气
000544,9.2,8.984,8.6825,
600168,5.28,5.279999999999999,5.2375,武汉控股
601816,5.1,4.970000000000001,4.941,京沪高铁
603693,13.22,13.163999999999998,12.6755,江苏新能
600507,7.12,7.022,6.472500000000001,方大特钢
600674,15.0,14.478,14.0815,川投能源
600483,10.11,10.09,9.42,福能股份
603318,9.7,8.206,7.356,水发燃气
002546,10.78,10.486,9.419,
002051,8.88,8.806000000000001,8.687999999999999,
603071,14.42,14.208000000000002,13.767500000000002,物产环能
600956,8.7,7.903999999999999,7.616999999999999,新天绿能
601117,9.15,9.133999999999999,8.718,中国化学
000027,7.06,6.969999999999999,6.795,
600917,6.42,5.868,5.7315,重庆燃气
000928,7.07,7.0,6.840000000000001,
601006,5.2,5.122000000000001,5.069999999999999,大秦铁路
