日期,代码,名称,当前价,形态类型,偏离度%,成交额(亿)
2026-01-20,600869,远东股份,10.02,回踩MA10阴线,-0.28,11.41
2026-01-20,002354,天娱数科,7.4,回踩MA10阴线,-0.32,23.97
