日期,代码,名称,当前价,形态类型,RSI6,偏离度%,MACD,距MA20距离%,成交额(亿)
2026-02-01,600589,大位科技,10.17,回踩MA5RSI强势,74.76,-0.68,0.049,7.8,19.05
2026-02-01,600126,杭钢股份,8.95,回踩MA5RSI强势,71.93,-0.67,0.032,1.67,8.54
2026-02-01,600172,黄河旋风,6.55,回踩MA10RSI强势,62.33,0.24,0.203,3.56,14.61
2026-02-01,603212,赛伍技术,16.18,回踩MA10RSI强势,62.28,0.45,0.379,5.3,9.73
2026-02-01,601390,中国中铁,5.7,回踩MA5RSI强势,60.43,-0.59,0.071,2.83,38.19
2026-02-01,002429,兆驰股份,9.69,回踩MA10RSI强势,58.27,-0.67,0.106,8.74,19.41
