日期,代码,名称,当前价,形态类型,偏离度%,MACD,距MA20距离%,成交额(亿)
2026-01-31,600703,三安光电,16.16,回踩MA10极缩阴,0.17,0.095,4.15,22.94
2026-01-31,600172,黄河旋风,6.55,回踩MA10极缩阴,0.24,0.203,3.56,14.61
2026-01-31,600459,贵研铂业,23.55,回踩MA10极缩阴,0.43,0.514,6.22,15.48
2026-01-31,603212,赛伍技术,16.18,回踩MA10极缩阴,0.45,0.379,5.3,9.73
2026-01-31,601390,中国中铁,5.7,回踩MA5极缩阴,-0.59,0.071,2.83,38.19
2026-01-31,600126,杭钢股份,8.95,回踩MA5极缩阴,-0.67,0.032,1.67,8.54
2026-01-31,002429,兆驰股份,9.69,回踩MA10极缩阴,-0.67,0.106,8.74,19.41
2026-01-31,600589,大位科技,10.17,回踩MA5极缩阴,-0.68,0.049,7.8,19.05
2026-01-31,000758,中色股份,7.92,回踩MA10极缩阴,0.78,0.231,7.33,13.75
