日期,代码,名称,当前价,形态类型,偏离度%,成交额(亿)
2026-01-15,002250,联化科技,16.83,回踩MA5阴线,-0.01,10.25
2026-01-15,600143,金发科技,19.85,回踩MA10阴线,0.04,33.47
2026-01-15,600435,北方导航,18.65,回踩MA10阴线,-0.05,34.52
2026-01-15,600973,宝胜股份,7.85,回踩MA10阴线,-0.38,11.97
2026-01-15,600967,内蒙一机,19.62,回踩MA5阴线,0.8,22.33
