Code,Name,Latest_Close,Latest_Volume,Max_Volume_120d,Low_Price_40d_Threshold
600838,上海九百,9.73,144540,49041572,9.7635
000759,中百集团,5.34,235571,24965144,5.3515999999999995
002094,青岛金王,6.1,247691,56986659,6.148
002434,万里扬,7.43,332794,37476100,7.499899999999999
002372,伟星新材,10.44,46719,22512573,10.4797
002474,榕基软件,7.31,161050,47342279,7.3586
002749,国光股份,12.38,24420,3455112,12.3815
600192,长城电工,8.21,60072,50519095,8.2697
600422,昆药集团,11.11,43899,13340445,11.148399999999999
000803,山高环能,7.76,218269,19672904,7.842499999999999
000507,珠海港,5.25,100816,29368373,5.2692
002731,萃华珠宝,5.92,264403,46350453,6.0235
601700,风范股份,5.07,175517,96409939,5.1055
002423,中粮资本,10.16,80621,20615919,10.2011
000590,启迪药业,10.96,34952,5555800,11.0044
002320,海峡股份,8.36,131893,26317493,8.3757
600679,上海凤凰,11.14,34085,4609001,11.194600000000001
002258,利尔化学,13.78,160166,30477953,13.8787
601919,中远海控,14.46,602211,84435816,14.535300000000001
002634,棒杰股份,5.25,495385,24614360,5.3826
000524,岭南控股,10.22,97117,7810924,10.3193
000599,青岛双星,5.34,81348,36243427,5.367
000789,万年青,5.04,42871,8328465,5.0646
603313,梦百合,7.8,53257,14453880,7.819999999999999
000048,京基智农,14.78,124007,19393852,15.0464
600597,光明乳业,7.39,47311,11618400,7.3971
600028,中国石化,5.44,2416561,262942713,5.5114
002575,群兴玩具,6.26,396366,97643740,6.3392
002187,广百股份,6.1,82527,49611500,6.1251
600084,中信尼雅,6.48,51259,7446080,6.4831
000425,徐工机械,9.97,1051588,140824910,10.0101
600313,农发种业,7.34,467815,116752290,7.3679
002691,冀凯股份,6.95,50391,11424591,7.0193
002548,金新农,5.04,176115,84567821,5.0751
002357,富临运业,10.94,99655,15090620,11.0969
605368,蓝天燃气,7.8,205828,10189290,7.8483
