Code,Name,Latest_Close,Latest_Volume,Max_Volume_120d,Low_Price_40d_Threshold
600028,中国石化,5.39,2351043,262942713,5.462899999999999
000417,合百集团,6.31,103377,42239066,6.3571
002043,兔 宝 宝,13.66,63736,11997711,13.752
002697,红旗连锁,5.14,143462,46138360,5.1416
002016,世荣兆业,5.31,123786,12316939,5.337
002044,美年健康,5.18,779686,297050257,5.2360999999999995
603189,网达软件,12.63,166233,7248700,12.873899999999999
002187,广百股份,5.96,76948,49611500,5.9966
000048,京基智农,14.24,121836,19393852,14.5226
002691,冀凯股份,6.15,17839,11424591,6.239400000000001
603015,弘讯科技,11.68,81310,16738426,11.782
002434,万里扬,7.25,185591,37476100,7.2693
002520,日发精机,5.32,226380,27880289,5.3591999999999995
000507,珠海港,5.18,171903,29368373,5.2013
000017,深中华A,6.35,69956,43421262,6.390499999999999
603277,银都股份,13.14,22935,1531325,13.232700000000001
601238,广汽集团,7.03,165174,29605279,7.0606
000524,岭南控股,10.03,70506,7810924,10.135
600057,厦门象屿,6.84,537246,20052675,6.8967
002394,联发股份,12.38,53594,12113578,12.520100000000001
000510,新金路,13.75,461746,93759276,13.8849
002366,融发核电,6.99,298203,81649841,7.0467
600192,长城电工,8.17,49014,50519095,8.211500000000001
600313,农发种业,7.25,332956,116752290,7.3097
002347,泰尔股份,7.85,199662,38952200,7.8936
601022,宁波远洋,8.65,66461,20525101,8.6695
600422,昆药集团,10.96,67733,13340445,10.999600000000001
002527,新时达,12.74,89352,26044573,12.8432
603035,常熟汽饰,13.38,33682,6415456,13.4339
002027,分众传媒,6.13,1263080,144917426,6.1582
000599,青岛双星,5.29,111284,36243427,5.3476
002423,中粮资本,10.12,106334,20615919,10.1332
000700,模塑科技,10.93,309541,70655957,11.0206
000913,钱江摩托,13.68,64096,5931100,13.7697
600712,南宁百货,5.75,67077,10091262,5.7746
000655,金岭矿业,8.33,67234,30420547,8.3727
000403,派林生物,12.55,49558,14531861,12.6049
002052,同洲电子,9.9,110779,14835005,9.9768
002094,青岛金王,5.94,194784,56986659,5.9907
603977,国泰集团,13.96,304194,17789760,14.051200000000001
002320,海峡股份,8.22,112359,26317493,8.2824
002169,智光电气,12.91,274936,53760413,13.0081
603359,东珠生态,5.61,129450,16647982,5.6368
000566,海南海药,5.07,233827,87850213,5.089099999999999
002575,群兴玩具,6.17,395968,97643740,6.2519
600828,茂业商业,5.03,154683,37160110,5.0362
002031,巨轮智能,5.8,395747,78938419,5.854
601700,风范股份,5.05,127092,96409939,5.0861
002474,榕基软件,7.05,319346,47342279,7.1064
000759,中百集团,5.21,150358,24965144,5.261
600603,广汇物流,6.08,194063,16850888,6.1391
002045,国光电器,11.0,143951,17857961,11.0909
600558,大西洋,5.29,116372,30081452,5.3199000000000005
002221,东华能源,7.84,373127,20656257,7.9051
601319,中国人保,7.23,442210,108220314,7.272600000000001
600838,上海九百,9.61,75729,49041572,9.656799999999999
603535,嘉诚国际,8.11,44042,3707641,8.1149
600848,上海临港,9.1,85296,17721704,9.166599999999999
600860,京城股份,10.82,80210,27825342,10.9712
603567,珍宝岛,6.6,123817,26237966,6.6135
605368,蓝天燃气,7.63,61074,10189290,7.6834
000892,欢瑞世纪,5.16,1054757,44714000,5.2194
001322,箭牌家居,7.16,29101,10978600,7.1921
002383,合众思壮,9.31,192865,27293419,9.3207
000710,贝瑞基因,9.68,63828,18430589,9.7625
002372,伟星新材,10.33,91449,22512573,10.3882
600730,中国高科,8.21,288198,21969078,8.2787
000425,徐工机械,9.76,605449,140824910,9.8386
600966,博汇纸业,6.13,426020,21265867,6.2011
000821,京山轻机,10.47,237558,78500274,10.601700000000001
000798,中水渔业,9.23,207878,13442100,9.3275
603313,梦百合,7.71,53974,14453880,7.7631
600651,飞乐音响,6.61,160106,47778141,6.6526000000000005
600843,上工申贝,8.35,177598,18849831,8.4427
002731,萃华珠宝,5.34,7363,46350453,5.4479999999999995
601919,中远海控,14.4,641072,84435816,14.4771
603628,清源股份,13.19,67247,19258356,13.255600000000001
600095,湘财股份,9.11,245540,32561074,9.1244
