Code,Name,Latest_Close,Latest_Volume,Max_Volume_120d,Low_Price_40d_Threshold
600028,中国石化,5.78,1350357,262942713,5.841200000000001
002044,美年健康,5.27,966587,297050257,5.3167
600415,小商品城,12.27,912216,60642937,12.360299999999999
000571,新大洲A,5.41,207534,28561144,5.4535
600422,昆药集团,11.15,56086,13340445,11.162299999999998
001217,华尔泰,11.44,76015,10210420,11.4896
002235,安妮股份,9.43,518544,31621650,9.4939
600848,上海临港,9.55,385857,17721704,9.5854
603098,森特股份,14.39,66991,9367800,14.513
603697,有友食品,9.88,47445,6852002,9.894599999999999
000803,山高环能,8.25,124421,19672904,8.3178
002078,太阳纸业,14.55,187788,29731727,14.568200000000001
600054,黄山旅游,11.95,160669,11587598,12.0061
