代码,名称,当前价,今日涨幅,真实量增,信号强度,操作建议,止损点
600901,江苏金租,6.3,1.61%,1.83倍,80分,积极参与,6.19
600820,隧道股份,6.53,0.31%,1.19倍,60分,重点关注,6.51
