代码,名称,当前价,今日涨幅,真实量增,信号强度,操作建议,止损点
605228,神通科技,14.73,5.06%,1.42倍,80分,积极参与,14.0
002860,星帅尔,16.68,6.11%,1.34倍,80分,积极参与,15.72
002342,巨力索具,10.06,4.9%,1.19倍,80分,积极参与,9.56
000783,长江证券,9.36,5.29%,1.29倍,80分,积极参与,8.86
600877,电科芯片,17.1,8.23%,1.32倍,80分,积极参与,15.77
