股票代码,最新价,支撑位,量能萎缩比,历史信号胜率,信号强度,操作建议,name
002221,8.89,8.91,27.8%,54.4%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,东华能源
600586,6.06,6.12,34.3%,52.9%,80,建议观察，待放量确认,金晶科技
603088,12.13,12.25,40.6%,56.6%,80,建议观察，待放量确认,宁波精达
