股票代码,最新价,支撑位,量能萎缩比,历史信号胜率,信号强度,操作建议,name
002427,7.18,7.04,29.6%,54.5%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,尤夫股份
600490,8.98,9.06,44.0%,50.4%,80,建议观察，待放量确认,鹏欣资源
600463,10.99,11.03,23.0%,54.1%,80,建议观察，待放量确认,空港股份
002205,14.37,14.37,29.2%,50.6%,80,建议观察，待放量确认,国统股份
