code,price,pct,turnover,vol_ratio,remark,name
002053,13.81,6.23%,6.15%,2.74,缩量横盘+大阳突破,云南能投
603227,9.41,5.14%,7.2%,3.9,缩量横盘+大阳突破,雪峰科技
